1	92	1	203	1	23	101	23	168	23	2962	15112	14716	14857	14681	15227	14756	6074										
875	144	3176	1761	1257	2701	9419	14660	15144	14900	14791	14791	14660	9420														
14694	15079	14694	597	313	649	1547	4067	1941	1155	14765	14733	15301	7784														
6689	73	6500	89	14916	14743	14854	14967	14869	14976	181																	
28	8	1186	23	941	130	3076	582	14912	15409	15098	16379	14695	15409	14769	15539	15042	212										
15856	14677	14677	14865	14830	43	863	1569	1663	6168	120	104	1663	1569	3854	9457	9865	10340	10775	11276	11795	12417						
15219	14688	15105	15023	22	26	41	16	272	273	51	15	14953	15387	14645	89												
3302	270	591	51	15159	14796	15295	14973	14796	14973	14796	15295	14796	15295	14973	14654	15307	14796	3									
14680	14708	15050	16211	14908	1372	7036	483	947	790	40	136	40	224	676	15186	545											
14636	14658	15034	15	21	16	40	1997	433	8	47	44	3	358	84	6	28	253	3	32	166	28	40	159				
14682	14760	65	3	1358	647	65	647	65	97	4	647	4	14715	102													
15810	15187	15522	14895	11	2	11	2	11	6562	15867	14735	15093	15183	15473	14735	14886	15509	9789									
471	14661	94	4439	7984	121	311	92	129	92	94	471	2313	481	17089	17094	1522											
14647	15390	14737	14795	16459	14647	15150	14638	3	65	35	4	226	65	226	14705	41											
14746	7	472	143	564	2	564	3924	458	15166	15117	14796	7															
25	33	94	20	2850	1727	15	95	6	5	370	687	14780	14753	15666													
3	4	172	692	3	4	252	66	475	320	189	73	3	15421	16516	16250	15012	17327	14638	17330	16970	16250	15276	84				
14643	15050	15162	14895	15948	14881	15051	15431	15202	611	2216	3777	2509	4389	2426	3048	4106	4331	6305	307	15162	254						
110	1445	3	862	65	853	65	11	16	11	16	11	406	79	16	11	14643	14768	14771	15055	14863	15132	16					
157	338	7	22	14666	15094	15225	14787	14912	14976	14647	344																
166	90	2	3805	2689	8242	10160	10161	14871	15530	15225	15278	15246	14774	14695	8300												
17157	49	28	7	28	7	450	49	7520	1699	495	7	82	1989	1699	15168	15116	15145	14930	14648	14930	14783	15145	14930	15089	464		
14812	14648	15022	15529	14998	15492	15620	15101	15399	15534	15809	16159	15038	14901	66	696	560	696	1697	58	7	131						
897	17	4	80	568	4	316	910	897	1183	17	513	14667	14663	15497	4												
16206	16053	15071	15175	558	45	115	158	2349	558	1133	11	558	558	3	89	672	163	3	65	1049	4942	2415	650	14815	871		
